ESTP,ISFP,ISTP,ESFP,ESTJ,ESFJ,ISTJ,ISFJ,ENFJ,INFJ,ENFP,INFP,ENTJ,INTJ,ENTP,INTP
0.040,0.296,0.506,0.506,0.296,0.296,0.506,0.296,0.714,0.506,0.506,0.506,0.296,0.714,0.867,0.506
0.296,0.110,0.506,0.139,0.296,0.296,0.139,0.296,0.296,0.867,0.867,0.506,0.714,0.714,0.506,0.506
0.506,0.506,0.259,0.296,0.867,0.506,0.714,0.867,0.139,0.296,0.714,0.296,0.139,0.506,0.714,0.714
0.506,0.139,0.296,0.460,0.506,0.867,0.714,0.506,0.506,0.296,0.296,0.714,0.506,0.139,0.296,0.296
0.296,0.296,0.867,0.506,0.680,0.714,0.867,0.952,0.296,0.139,0.506,0.139,0.296,0.296,0.506,0.506
0.296,0.296,0.506,0.867,0.714,0.840,0.867,0.714,0.296,0.506,0.506,0.506,0.714,0.051,0.139,0.139
0.506,0.139,0.714,0.714,0.867,0.867,0.940,0.867,0.506,0.296,0.296,0.296,0.506,0.139,0.296,0.296
0.296,0.296,0.867,0.506,0.952,0.714,0.867,0.940,0.296,0.139,0.506,0.139,0.296,0.296,0.506,0.506
0.714,0.296,0.139,0.506,0.296,0.296,0.506,0.296,0.840,0.506,0.139,0.506,0.714,0.714,0.506,0.506
0.506,0.867,0.296,0.296,0.139,0.506,0.296,0.139,0.506,0.680,0.714,0.714,0.867,0.506,0.296,0.296
0.506,0.867,0.714,0.296,0.506,0.506,0.296,0.506,0.139,0.714,0.460,0.296,0.506,0.506,0.714,0.296
0.506,0.506,0.296,0.714,0.139,0.506,0.296,0.139,0.506,0.714,0.296,0.250,0.506,0.506,0.296,0.714
0.296,0.714,0.139,0.506,0.296,0.714,0.506,0.296,0.714,0.867,0.506,0.506,0.110,0.296,0.139,0.139
0.714,0.714,0.506,0.139,0.296,0.051,0.139,0.296,0.714,0.506,0.506,0.506,0.296,0.030,0.867,0.867
0.867,0.506,0.714,0.296,0.506,0.139,0.296,0.506,0.506,0.296,0.714,0.296,0.139,0.867,0.110,0.714
0.506,0.506,0.714,0.296,0.506,0.139,0.296,0.506,0.506,0.296,0.296,0.714,0.139,0.867,0.714,0.250
