"metrics","rwmet","mmet2","tm_sm","mmet1","tm_rm"
"Number of nodes","15.000","15.000"," 0.000","15.000"," 0.000"
"Number of links","33.000","34.000"," 1.000","33.000"," 0.000"
"Number of Components"," 1.000"," 1.025"," 0.025"," 1.050"," 0.050"
"Network density"," 0.314"," 0.324"," 0.010"," 0.314"," 0.000"
"Degree average"," 4.400"," 4.533"," 0.133"," 4.400"," 0.000"
"Degree std.dev."," 2.530"," 1.723"," 0.807"," 1.667"," 0.863"
"Cluster Coefficient"," 0.516"," 0.326"," 0.190"," 0.293"," 0.223"
"Avg. Cluster Coefficient"," 0.477"," 0.341"," 0.137"," 0.317"," 0.160"
"Mean path length"," 1.876"," 1.880"," 0.004"," 1.952"," 0.076"
"Avg.Betweeness"," 6.133"," 5.833"," 0.300"," 6.012"," 0.122"
"Max.Betweeness","37.248","20.032","17.216","19.209","18.039"
"Avg.Closeness"," 0.039"," 0.039"," 0.000"," 0.039"," 0.001"
"Min.Closeness"," 0.030"," 0.029"," 0.001"," 0.029"," 0.002"
"Avg.Eigencentrality"," 0.528"," 0.594"," 0.066"," 0.601"," 0.073"
"Network radius"," 2.000"," 2.000"," 0.000"," 2.000"," 0.000"
"    Avg.Eccentricity"," 2.800"," 2.885"," 0.085"," 2.900"," 0.100"
"Network diameter"," 3.000"," 3.400"," 0.400"," 3.500"," 0.500"
